iter	Passed	Remaining
598	10291	41250
599	10317	41268
600	10341	41278
601	10368	41303
602	10389	41298
603	10415	41316
604	10437	41318
605	10458	41318
606	10484	41332
607	10508	41343
608	10533	41355
609	10556	41362
610	10582	41376
611	10606	41387
612	10634	41408
613	10664	41441
614	10689	41454
615	10716	41475
616	10742	41489
617	10772	41522
618	10802	41551
619	10828	41567
620	10858	41597
621	10872	41565
622	10888	41545
623	10906	41527
624	10922	41503
625	10938	41483
626	10956	41466
627	10973	41445
628	10990	41429
629	11008	41411
630	11024	41391
631	11041	41371
632	11058	41350
633	11073	41325
634	11093	41318
635	11111	41302
636	11128	41282
637	11145	41263
638	11161	41240
639	11177	41216
640	11193	41194
641	11208	41167
642	11224	41145
643	11240	41122
644	11259	41109
645	11278	41097
646	11294	41077
647	11312	41061
648	11328	41037
649	11344	41016
650	11360	40993
651	11378	40975
652	11395	40956
653	11410	40932
654	11426	40907
655	11440	40879
656	11455	40854
657	11471	40829
658	11488	40811
659	11503	40785
660	11514	40743
661	11524	40701
662	11535	40661
663	11545	40618
664	11556	40576
665	11566	40535
666	11577	40494
667	11586	40450
668	11597	40410
669	11608	40370
670	11619	40329
671	11629	40287
672	11639	40246
673	11651	40208
674	11661	40166
675	11671	40124
676	11680	40081
677	11691	40041
678	11701	39997
679	11710	39953
680	11719	39908
681	11730	39868
682	11741	39833
683	11754	39799
684	11764	39759
685	11776	39723
686	11786	39682
687	11797	39643
688	11808	39606
689	11819	39570
690	11831	39536
691	11842	39497
692	11853	39460
693	11864	39423
694	11875	39384
695	11886	39346
696	11896	39309
697	11907	39269
698	11918	39234
699	11929	39197
700	11940	39160
701	11952	39125
702	11977	39135
703	11986	39093
704	11995	39050
705	12005	39008
706	12014	38967
707	12023	38924
708	12033	38885
709	12043	38845
710	12053	38804
711	12063	38764
712	12073	38727
713	12085	38692
714	12095	38655
715	12105	38614
716	12115	38576
717	12125	38537
718	12134	38495
719	12144	38456
720	12153	38416
721	12162	38375
722	12172	38335
723	12182	38298
