iter	Passed	Remaining
910	12122	14490
911	12134	14476
912	12146	14461
913	12159	14447
914	12171	14433
915	12184	14419
916	12196	14404
917	12208	14389
918	12220	14374
919	12232	14360
920	12245	14346
921	12257	14331
922	12270	14317
923	12282	14302
924	12297	14291
925	12309	14277
926	12321	14261
927	12334	14247
928	12346	14233
929	12358	14219
930	12372	14206
931	12386	14193
932	12399	14179
933	12411	14165
934	12423	14151
935	12437	14138
936	12450	14124
937	12464	14112
938	12478	14099
939	12491	14085
940	12504	14071
941	12517	14058
942	12529	14044
943	12543	14031
944	12555	14017
945	12568	14003
946	12582	13990
947	12595	13976
948	12606	13961
949	12618	13947
950	12631	13932
951	12643	13918
952	12656	13904
953	12670	13892
954	12682	13878
955	12695	13863
956	12707	13849
957	12720	13835
958	12732	13820
959	12744	13806
960	12757	13792
961	12769	13778
962	12781	13763
963	12794	13749
964	12806	13735
965	12818	13720
966	12830	13706
967	12843	13692
968	12856	13679
969	12868	13664
970	12881	13650
971	12895	13637
972	12908	13625
973	12921	13610
974	12934	13597
975	12947	13584
976	12960	13570
977	12972	13556
978	12984	13542
979	12998	13529
980	13011	13515
981	13024	13502
982	13039	13490
983	13053	13477
984	13066	13464
985	13079	13450
986	13092	13437
987	13105	13424
988	13119	13410
989	13132	13397
990	13145	13384
991	13158	13371
992	13172	13358
993	13185	13344
994	13199	13332
995	13211	13318
996	13226	13305
997	13240	13293
998	13253	13279
999	13266	13266
1000	13280	13253
1001	13293	13240
1002	13308	13228
1003	13322	13216
1004	13335	13202
1005	13347	13188
1006	13360	13174
1007	13372	13160
1008	13385	13146
1009	13398	13133
1010	13410	13119
1011	13423	13104
1012	13436	13091
1013	13448	13077
1014	13465	13067
1015	13484	13059
1016	13496	13044
1017	13508	13030
1018	13520	13016
1019	13532	13002
1020	13544	12987
1021	13557	12973
1022	13571	12961
1023	13584	12947
1024	13597	12934
1025	13609	12919
1026	13621	12905
1027	13634	12892
1028	13648	12879
1029	13661	12865
1030	13673	12851
1031	13685	12837
1032	13698	12823
1033	13710	12808
1034	13722	12794
1035	13734	12780
1036	13748	12767
1037	13759	12752
1038	13772	12738
1039	13784	12724
1040	13797	12710
1041	13808	12695
1042	13820	12681
1043	13833	12667
1044	13846	12654
1045	13858	12639
1046	13870	12625
1047	13882	12611
1048	13895	12597
1049	13907	12583
1050	13920	12569
1051	13934	12556
1052	13947	12543
1053	13961	12530
1054	13975	12518
1055	13989	12505
1056	14003	12492
1057	14016	12479
1058	14028	12465
1059	14043	12453
1060	14055	12439
1061	14068	12425
1062	14080	12411
1063	14094	12399
1064	14107	12385
1065	14119	12371
1066	14131	12356
1067	14143	12342
1068	14155	12327
